codigo,norma,pilar,seccion_indice,descripcion,ods,hoja_detalle
NIIF S1 35(b),S1,estrategia,3. Gobernanza,Riesgos y oportunidades relacionados con la sostenibilidad identificados para los que existe un riesgo significativo de un ajuste material o con importancia relativa dentro del próximo periodo anual sobre el que se informa sobre los importes en libros de los activos y pasivos informados en los estados financieros relacionados,,
NIIF S1 35(c)(i)(ii),S1,estrategia,3. Gobernanza,"En términos generales, los riesgos y oportunidades identificados en este informe pueden influir en el corto, medio y largo plazo en los siguientes elementos: Ingresos: Cambios en patrones de tráfico, restricciones operativas, ajustes tarifarios o pérdida temporal de capacidad pueden afectar los ingresos de peaje y servicios asociados. Costos y gastos de operación (OpEx): Incremento en costos de mantenimiento correctivo, seguridad, energía, seguros o cumplimiento normativo. Oportunidades como eficiencia energética, la economía circular o la digitalización pueden contribuir a reducir costos operativos en el mediano plazo. Inversiones en activos fijos (CapEx): Necesidad de inversiones adicionales para reforzar infraestructura, implementar tecnologías de monitoreo, modernizar equipos o cumplir con requerimientos ambientales y de seguridad. Valor de los activos y provisiones: Cambios en supuestos de deterioro, vida útil, provisiones por mantenimiento mayor o contingencias pueden generar impactos en el balance. Costo de financiamiento y acceso a capital: La gestión efectiva de los riesgos ASG puede influir en el acceso a financiamiento verde o sostenible, mientras que un deterioro reputacional o incumplimientos pueden encarecer el costo del capital.",,
NIIF S1 35(d),S1,estrategia,3. Gobernanza,"Como se espera que cambien su rendimineto financiero a corto, medio y largo plazo, dada su estrategia para gestionar los riesgos y oportunidades relacionados con la sostenibilidad","16. Paz, justicia e instituciones sólidas",
NIIF S1 41,S1,estrategia,3. Gobernanza,"Evaluación cualitativa y, en su caso, cuantitativa de la resiliencia de su estrategia y modelo de negocio en relación con sus riesgos relacionados con la sostenibilidad, incluyendo información sobre cómo se llevó a cabo la evaluación y su horizonte temporal.",,
NIIF S1 44 (a)(i)a(v),S1,riesgos,3. Gobernanza,"Procesos y políticas relacionadas que la entidad utiliza para identificar, evaluar, priorizar y supervisar los riesgos relacionados con la sostenibilidad","16. Paz, justicia e instituciones sólidas",
NIIF S1 44 (a)(vi),S1,riesgos,3. Gobernanza,¿La entidad ha cambiado los procesos que utiliza en comparación con el periodo de información anterior?,,
NIIF S1 44 (b),S1,riesgos,3. Gobernanza,"Procesos utilizados para identificar, evaluar, priorizar y supervisar las oportunidades relacionadas con la sostenibilidad",,
NIIF S1 44 (c),S1,riesgos,3. Gobernanza,"Grado y forma en que los procesos de identificación, evaluación, priorización y seguimiento de los riesgos y oportunidades relacionados con la sostenibilidad se integran en el proceso global de gestión de riesgos de la entidad e informan al respecto.","16. Paz, justicia e instituciones sólidas",
NIIF S1 46 a 50,S1,metricas,3. Gobernanza,"Métricas para riesgos y oportunidades de sostenibilidad: métricas requeridas por NIIF/SASB/CDSB/Apéndice C-NIIF S1 y métricas propias de la entidad (fuente, tipo, validación por tercero, método de cálculo, datos, limitaciones y supuestos)",,
NIIF S1 51,S1,metricas,3. Gobernanza,Objetivos que se ha fijado la entidad y requeridos para cumplir por ley o regulación para supervisar el progreso hacia la consecución de sus objetivos estratégicos en relación con ese riesgo u oportunidad relacionados con la sostenibilidad.,,NIIF S1 51
NIIF S1 72,S1,metricas,3. Gobernanza,¿La entidad cumple con todos los requerimientos de las Normas NIIF de Información a Revelar sobre Sostenibilidad explícitamente y sin reservas?,"16. Paz, justicia e instituciones sólidas",
NIIF S1 74,S1,metricas,3. Gobernanza,"Revelar la información que se considere necesaria por la Emisora a que hace referencia el apartado ""Juicios, incertidumbres y errores"" de la NIIF S1",,
"NIIF S2 10(a), (b)y(c)",S2,estrategia,"4. Estrategia, políticas y prácticas","Riesgos y oportunidades climáticos: nombre, descripción, tipo de riesgo climático (físico/transición) y horizontes temporales en los que cabe esperar razonablemente que se produzcan sus efectos",,NIIF S2 10
NIIF S2 10(d),S2,estrategia,"4. Estrategia, políticas y prácticas","Explicar cómo define la entidad el ""corto plazo"", el ""medio plazo"" y el ""largo plazo"" y cómo se vinculan estas definiciones a los horizontes de planificación utilizados por la entidad para la toma de decisiones estratégicas.",,NIIF S2 10
NIIF S2 13(a),S2,estrategia,"4. Estrategia, políticas y prácticas",Descripción de los efectos actuales y previstos de los riesgos y oportunidades relacionados con el clima sobre el modelo de negocio y la cadena de valor de la entidad,,
NIIF S2 13(b),S2,estrategia,"4. Estrategia, políticas y prácticas",Descripción de dónde se concentran en el modelo de negocio y en la cadena de valor de la entidad los riesgos y oportunidades relacionados con el clima.,,
NIIF S2 14(a)(i),S2,estrategia,"4. Estrategia, políticas y prácticas","Los cambios actuales y previstos en el modelo de negocio de la entidad, incluida su asignación de recursos, para abordar los riesgos y oportunidades relacionados con el clima",,
NIIF S2 14(a)(ii),S2,estrategia,"4. Estrategia, políticas y prácticas",Los esfuerzos directos actuales y previstos de reducción o adaptación,,
NIIF S2 14(a)(iii),S2,estrategia,"4. Estrategia, políticas y prácticas",Los esfuerzos indirectos actuales y previstos de reducción o adaptación,,
NIIF S2 14(a)(iv),S2,estrategia,"4. Estrategia, políticas y prácticas","Planes de transición relacionado con el clima que tenga la entidad, incluida la información sobre los supuestos clave utilizados en el desarrollo de su plan de transición, y las dependencias en las que se basa el plan de transición de la entida.",,
NIIF S2 14(a)(v),S2,estrategia,"4. Estrategia, políticas y prácticas","Cómo prevé la entidad alcanzar cualquier objetivo relacionado con el clima, incluido cualquier objetivo de emisiones de gases de efecto invernadero, descrito de conformidad con los desarrollados en el apartado ""Metricas y Objetivos"", sección ""Objetivos relacionados con el clima"", del presente informe)",,
NIIF S2 14(b),S2,estrategia,"4. Estrategia, políticas y prácticas","Forma en que la entidad está dotando de recursos a las actividades reveladas en su estrategia y toma de decisiones, así como sus planes de seguir haciéndolo:",,
NIIF S2 14(c),S2,estrategia,"4. Estrategia, políticas y prácticas",Información cuantitativa y cualitativa sobre el progreso de los planes revelados en periodos anteriores sobre los que se informa de acuerdo con su estrategia y toma de decisiones:,,
NIIF S2 16(a),S2,estrategia,5. Participación de los grupos de interés,Cómo los riesgos y oportunidades relacionados con el clima han afectado a su situación financiera durante el periodo sobre el que se informa,,
NIIF S2 16(b),S2,estrategia,6. Contenidos sobre los temas materiales,Riesgos y oportunidades relacionados con el clima identificados para los que existe un riesgo significativo de un ajuste material o con importancia relativa dentro del próximo periodo anual sobre el que se informa sobre los importes en libros de los activos y pasivos informados en los estados financieros relacionados,,
NIIF S2 16(c)(i)(ii),S2,estrategia,6. Contenidos sobre los temas materiales,"Como se espera que cambie su situación financiera a corto, medio y largo plazo, dada su estrategia para gestionar los riesgos y oportunidades relacionados con el clima (Considerar: i) sus planes de inversión y disposición (por ejemplo, planes de desembolso de capital, adquisiciones y desinversiones importantes, negocios conjuntos, transformación de negocios, innovación, nuevas áreas de negocio y retiros de activos), incluidos los planes con los que la entidad no esté compromet ida contractualmente; y (ii) sus fuentes de financiación previstas para la implementación de su estrategia)",,
NIIF S2 16(d),S2,estrategia,6. Contenidos sobre los temas materiales,"Como se espera que cambien su rendimineto financiero a corto, medio y largo plazo, dada su estrategia para gestionar los riesgos y oportunidades relacionados con el clima",,
NIIF S2 22(a)(i),S2,estrategia,6. Contenidos sobre los temas materiales,Evaluación de su resiliencia climática en la fecha de presentación incluidos los efectos identificados en el análisis del escenario relacionado con el clima.,,
NIIF S2 22(a)(ii),S2,estrategia,6. Contenidos sobre los temas materiales,Áreas significativas de incertidumbre consideradas en la evaluación de la resiliencia climática,,
NIIF S2 22(a)(iii),S2,estrategia,6. Contenidos sobre los temas materiales,"Como espera que afecten su capacidad de respuesta ante el cambio climático, a corto, mediano y largo plazo, los recursos financieros y operativos disponibles para hacer frente al riesgo y aprovechar las oportunidades, incluido el acceso al capital.",,
NIIF S2 22(b)(i),S2,estrategia,6. Contenidos sobre los temas materiales,Analisis de escenarios,,NIIF S2 22(b)(i)
NIIF S2 22(b)(ii),S2,estrategia,6. Contenidos sobre los temas materiales,Supuestos clave que la entidad realizó en el análisis,,NIIF S2 22(b)(ii)
NIIF S2 22(b)(iii),S2,estrategia,6. Contenidos sobre los temas materiales,Periodo sobre el que se informa en el que se ha llevado a cabo el análisis del escenario,,
NIIF S2 25 (a)(i)a(v),S2,riesgos,6. Contenidos sobre los temas materiales,"Procesos y políticas relacionadas que la entidad utiliza para identificar, evaluar, priorizar y supervisar los riesgos relacionados con el clima",,
NIIF S2 25 (a)(vi),S2,riesgos,6. Contenidos sobre los temas materiales,¿La entidad ha cambiado los procesos que utiliza en comparación con el periodo de información anterior?,,
NIIF S2 25 (b),S2,riesgos,6. Contenidos sobre los temas materiales,"Procesos que utiliza la entidad para identificar, evaluar, priorizar y supervisar las oportunidades relacionadas con el clima, incluida la información sobre si la entidad utiliza, y de qué manera, el análisis de escenarios relacionados con el clima para fundamentar su identificación de oportunidades relacionadas con el clima",,
NIIF S2 25 (c),S2,riesgos,6. Contenidos sobre los temas materiales,"Grado y forma en que los procesos de identificación, evaluación, priorización y seguimiento de los riesgos y oportunidades relacionados con el clima se integran en el proceso global de gestión de riesgos de la entidad e informan al respecto",,
NIIF S2 29 (a)(i),S2,metricas,6. Contenidos sobre los temas materiales,"Información sobre sus emisiones brutas absolutas de gases de efecto invernadero generadas durante el periodo sobre el que se informa, expresadas en toneladas métricas equivalentes de CO2 (CO2e) :",,NIIF S2 29(a)(i)
NIIF S2 29 (a)(ii),S2,metricas,6. Contenidos sobre los temas materiales,Información sobre la medición de sus emisiones de gases de efecto invernadero de conformidad con el Protocolo sobre Gases de Efecto Invernadero (Un Estándar Corporativo de Contabilidad y Reporte (2004)),,
NIIF S2 29 (a)(iii),S2,metricas,6. Contenidos sobre los temas materiales,Información sobre el enfoque que utiliza para medir sus emisiones de gases de efecto invernadero,,
NIIF S2 29 (a)(iv) EI5,S2,metricas,6. Contenidos sobre los temas materiales,Desagregación de las emisiones de gases de efecto invernadero de Alcance 1 y Alcance 2 entre el grupo contable consolidado y otras participadas excluidas.,,
NIIF S2 29 (a)(v),S2,metricas,6. Contenidos sobre los temas materiales,Emisiones de gases de efecto invernadero de Alcance 2,,
NIIF S2 29 (a)(vi)(1),S2,metricas,6. Contenidos sobre los temas materiales,Emisiones de gases de efecto invernadero de Alcance 3,,NIIF S2 29(a)(vi)(1)
NIIF S2 29 (a)(vi)(1) EI12,S2,metricas,6. Contenidos sobre los temas materiales,Extracto de la información a revelar de las emisiones de gases de efecto invernadero de Alcance 3 desagregado en categorías :,,NIIF S2 29(a)(vi)(1)
NIIF S2 29 (a)(vi)(2),S2,metricas,6. Contenidos sobre los temas materiales,"Información adicional sobre las emisiones de gases de efecto invernadero de la Categoría 15 de la entidad o las asociadas a sus inversiones (emisiones financiadas), si las actividades de la entidad incluyen la gestión de activos, la banca comercial o los seguros:",,
NIIF S2 29 (b) B64 y B65 inciso (a),S2,metricas,6. Contenidos sobre los temas materiales,"Riesgos físicos relacionados con el clima: cantidad y porcentaje de activos o actividades empresariales vulnerables, y despliegue de capital aplicado (comparativo anual)",,NIIF S2 29(b)
NIIF S2 29 (b) B64 y B65 inciso (b),S2,metricas,6. Contenidos sobre los temas materiales,Descripción de dónde se concentran en el modelo de negocio y en la cadena de valor de la entidad los riesgos de transición relacionados con el clima.,,NIIF S2 29(b)
NIIF S2 29 (b) B64 y B65 inciso (c),S2,metricas,6. Contenidos sobre los temas materiales,Cómo los riesgos de transición relacionados con el clima han afectado a su situación financiera durante el periodo sobre el que se informa,,NIIF S2 29(b)
NIIF S2 29 (c) B64 y B65 inciso (b),S2,metricas,6. Contenidos sobre los temas materiales,Descripción de dónde se concentran en el modelo de negocio y en la cadena de valor de la entidad los riesgos físicos relacionados con el clima.,,
NIIF S2 29 (c) B64 y B65 inciso (c),S2,metricas,6. Contenidos sobre los temas materiales,"Cómo los riesgos de transición relacionados con el clima han afectado a su situación financiera, rendimiento financiero y flujos de efectivo durante el periodo sobre el que se informa",,
NIIF S2 29 (d) B64 y B65 inciso (a),S2,metricas,6. Contenidos sobre los temas materiales,"Oportunidades relacionadas con el clima: cantidad y porcentaje de activos o actividades empresariales alineadas, y despliegue de capital aplicado (comparativo anual)",,NIIF S2 29(d)
NIIF S2 29 (d) B64 y B65 inciso (b),S2,metricas,6. Contenidos sobre los temas materiales,Descripción de dónde se concentran en el modelo de negocio y en la cadena de valor de la entidad las oportunidades relacionados con el clima.,,NIIF S2 29(d)
NIIF S2 29 (d) B64 y B65 inciso (c),S2,metricas,6. Contenidos sobre los temas materiales,"Cómo las oportunidades relacionadas con el clima han afectado a su situación financiera, rendimiento financiero y flujos de efectivo durante el periodo sobre el que se informa",,NIIF S2 29(d)
NIIF S2 29 (e),S2,metricas,6. Contenidos sobre los temas materiales,"Información sobre la cantidad de gasto de capital, financiación o inversión aplicada a los riesgos y oportunidades relacionados con el clima:",,
NIIF S2 29 (f) (i) y (ii),S2,metricas,6. Contenidos sobre los temas materiales,¿La entidad está aplicando un precio del carbono en la toma de decisiones?,,
NIIF S2 29 (g) (i) y (ii),S2,metricas,6. Contenidos sobre los temas materiales,¿Las consideraciones relacionadas con el clima se tienen en cuenta en la remuneración de los ejecutivos ?,,
NIIF S2 30,S2,metricas,6. Contenidos sobre los temas materiales,Cantidad y porcentaje de activos o actividades empresariales vulnerables a los riesgos de transición relacionados con el clima,,NIIF S2 30
NIIF S2 32,S2,metricas,6. Contenidos sobre los temas materiales,Seleccionar el tipo de sector o sectores en las que participa:,,
NIIF S2 33,S2,metricas,6. Contenidos sobre los temas materiales,"Objetivos cuantitativos y cualitativos relacionados con el clima establecidos para supervisar el progreso hacia la consecución de sus objetivos estratégicos y objetivos requeridos por ley o regulación, incluido cualquier objetivo de emisiones de gases de efecto invernadero.",,NIIF S2 33
NIIF S2 34,S2,metricas,6. Contenidos sobre los temas materiales,"Información sobre su enfoque para establecer y revisar cada objetivo, y sobre cómo supervisa el progreso con respecto a cada objetivo",,NIIF S2 34
NIIF S2 35,S2,metricas,6. Contenidos sobre los temas materiales,Información sobre sus resultados en relación con cada objetivo relacionado con el clima y un análisis de las tendencias o cambios en los resultados de la entidad,,NIIF S2 35
NIIF S2 36 (a)a(d),S2,metricas,6. Contenidos sobre los temas materiales,Objetivo de emisiones de gases de efecto invernadero,,
NIIF S2 36 (e)(i)a(iv),S2,metricas,6. Contenidos sobre los temas materiales,Información sobre el uso previsto por la entidad de créditos de carbono para compensar las emisiones de gases de efecto invernadero con el fin de alcanzar cualquier objetivo de emisiones de gases de efecto invernadero en términos netos.,,
NIIF S2 6 (a),S2,gobernanza,3. Gobernanza,Órgano u órganos de gobernanza o personas responsables de la supervisión de los riesgos y oportunidades relacionados con el clima,"16. Paz, justicia e instituciones sólidas",
NIIF S2 6 (a)(i),S2,gobernanza,3. Gobernanza,"Indicar cómo se reflejan las responsabilidades relativas a los riesgos y oportunidades relacionados con el cima en los términos de referencia a, mandatos, descripciones de funciones y otras políticas relacionadas aplicables a dichos órganos o personas.","16. Paz, justicia e instituciones sólidas",
NIIF S2 6 (a)(ii),S2,gobernanza,3. Gobernanza,Indicar cómo determina el órgano o los órganos o las personas si se dispone o se desarrollarán las habilidades y competencias adecuadas para supervisar las estrategias diseñadas para responder a los riesgos y oportunidades relacionados con el clima.,,
NIIF S2 6 (a)(iii),S2,gobernanza,3. Gobernanza,Incicar cómo y con qué frecuencia se informa a los órganos o personas sobre los riesgos y oportunidades relacionados con el clima.,,
NIIF S2 6 (a)(iv),S2,gobernanza,3. Gobernanza,"Indicar cómo tiene en cuenta el órgano o los órganos los riesgos y oportunidades relacionados con la sostenibilidad al supervisar la estrategia de la entidad, sus decisiones sobre transacciones importantes y sus procesos de gestión de riesgos y políticas relacionadas, incluyendo si el órgano o los órganos han considerado las compensaciones asociadas a esos riesgos y oportunidades.",,
NIIF S2 6 (a)(v),S2,gobernanza,3. Gobernanza,"La forma en que el órgano o los órganos o la persona o personas supervisan el establecimiento de objetivos relacionados con los riesgos y las oportunidades relacionados con la sostenibilidad, y controlan los avances hacia la consecución de los objetivos (desarrollados en el apartado ""Metricas y Objetivos"", sección ""Objetivos relacionados con el clima"", del presente informe).",5. Igualdad de género 8. Trabajo decente y crecimiento económico,
NIIF S2 6(b),S2,gobernanza,"4. Estrategia, políticas y prácticas","La gerencia en los procesos de gobernanza, los controles y los procedimientos utilizados para vigilar, gestionar y supervisar los riesgos y las oportunidades relacionados con el cima","16. Paz, justicia e instituciones sólidas",
NIIF S2 6(b)(i),S2,gobernanza,"4. Estrategia, políticas y prácticas","En el papel de la gerencia en los procesos de gobernanza, los controles y los procedimientos utilizados para vigilar, gestionar y supervisar los riesgos y las oportunidades relacionados con el clima ¿La función se delega en un cargo específico de la dirección o en un comité a nivel de dirección?",,
NIIF S2 6(b)(ii),S2,gobernanza,"4. Estrategia, políticas y prácticas",¿La gerencia utiliza controles y procedimientos para apoyar la supervisión de los riesgos y oportunidades relacionados con el clima?,,
NIIF S2 EI14 a E18,S2,estrategia,6. Contenidos sobre los temas materiales,Emisiones de gases de efecto invernadero de Alcance 1,,
NIIF S2 EI19 a EI24,S2,estrategia,6. Contenidos sobre los temas materiales,Desagregación de una categoría de Alcance 3 por los gases que la componen:,,
